"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10360","11760","12230","13190","13990","14620","15640","16230","16370","17220","17620","17880","20000","19170","17890","20070","22630","19200","23340","21680","25510","23770","22380","22450","23520","24510","25350","26560","26840","27120","","","","",
"Africa Eastern and Southern","AFE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","599.482608903842","569.783525335343","512.966092751491","519.145058248507","591.661746604521","668.627225913929","692.917375965742","673.326344495915","678.364537731379","664.82488659002","678.03790690986","685.583213342265","733.618396659169","748.93721720541","750.465095919547","693.262510464813","672.083020590337","666.869825838947","639.798491980841","624.488638677348","674.623360418215","821.064986896816","1027.76845753195","1156.45994350074","1267.68261341629","1353.58328600105","1368.65894591651","1436.90910213274","1563.67637050251","1669.13422582095","1697.84416343462","1677.09481848319","1579.43451246161","1475.40552696658","1441.53174622605","1494.71017059134","1535.77685618971","1406.28900683756","",
"Afghanistan","AFG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450","510","530","630","650","630","590","550","530","510","520","500","",
"Africa Western and Central","AFW","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","113.682774720585","122.151562723855","128.210426763014","133.154858775704","136.076073342751","128.792832563175","130.417219660746","143.033752317414","170.464729858424","179.002735629144","192.907347266948","216.294809423731","300.837412765683","358.214598566145","422.63865691887","455.231022315787","478.73628299449","558.914950782172","646.021027582754","762.946789872852","876.473866512333","925.185268363174","757.908977058447","685.766304771185","623.020924454693","614.855207700361","630.142669573591","563.566102942305","556.065001857948","541.615077627494","552.706213225852","471.93220842623","416.300539701013","407.933065475634","427.100408863607","465.582077571277","463.578133149452","465.941051025835","456.075182167284","480.245828307961","525.026891518552","587.682866956194","714.611721026501","844.712632338996","1032.37320177792","1199.46586124875","1446.55427839839","1518.44423776218","1575.79647271806","1605.67304967173","1774.03499784381","1931.80795617869","2061.52293679647","2005.47691182776","1782.15399024211","1611.48948341847","1611.86561950205","1669.1533225327","1654.42565980847","",
"Angola","AGO","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","590","680","660","650","850","780","900","330","290","180","370","360","450","410","330","360","390","590","710","1010","1370","1810","2460","3030","3170","3230","3410","4170","4780","5010","4520","3770","3450","3210","2970","2140","",
"Albania","ALB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","700","730","730","760","650","410","280","320","380","640","890","800","860","950","1100","1280","1370","1650","2100","2620","3050","3460","4040","4280","4360","4410","4360","4540","4540","4390","4320","4290","4860","5230","5210","",
"Andorra","AND","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","2937.61553207756","2565.66882301187","2523.79506685014","2488.72465654502","2656.40741209601","2733.4528550527","2775.72264237122","2640.84261144504","3004.24660037426","2192.53031450798","2236.7441543303","2139.62042995574","2131.65452878118","2184.60136097078","2314.7261638144","2423.56916812799","2438.87277306283","2455.14936922209","2614.49407351925","2726.04521089548","2689.05068194579","2869.31315170339","3328.05979364635","3790.78142796152","4374.37884714378","5021.80826417988","5882.16181800765","5999.43429632433","6275.78726136605","6229.71306899213","6954.33894714667","7359.84285698139","7381.67855144543","6880.22674439601","6415.15540717703","5940.74011997761","6171.0117675156","6419.0812391317","5932.74186976214","",
"United Arab Emirates","ARE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31400","31970","30940","32780","36160","37500","39380","39590","39910","35000","33400","35030","39220","42840","44370","42870","40550","39280","41470","43830","39410","",
"Argentina","ARG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","1120","1230","1350","1240","1210","1300","1320","1470","1470","1820","2470","2720","2360","2220","2190","2630","2910","2820","2670","2870","2830","2700","3020","3590","3960","2930","3190","3860","6070","7120","7620","7360","7740","8150","8030","7580","7470","7000","4040","3650","3370","4260","5480","6510","7670","7790","9270","10710","11870","12840","12330","12590","12220","13140","12430","11250","9070","",
"Armenia","ARM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","310","360","400","470","520","560","590","610","660","710","800","960","1180","1540","2020","2760","3600","3340","3470","3530","3880","4110","4140","4010","3760","3950","4240","4660","4220","",
"American Samoa","ASM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","1740","2180","2430","2470","2690","3170","3610","3970","4880","6040","6450","6820","7230","7470","7960","8450","8140","8700","9080","9270","9610","10100","9850","9660","10530","11450","12420","13810","15090","15250","13600","12690","12370","12780","12620","12760","12850","13580","14320","15880","16420","13750","",
"Australia","AUS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1870","1970","2110","2270","2350","2540","2730","2980","3270","3470","3890","4650","5950","7220","7870","8080","8470","9600","10830","11870","12080","11590","12030","12010","12300","12550","14120","15590","17330","18220","18540","18900","18860","19290","20480","21930","21780","21440","21130","20160","20030","21170","25570","30390","34150","37340","42360","44050","46690","50380","60260","66050","65180","60490","54090","51480","53070","54910","53680","",
"Austria","AUT","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1060","1140","1240","1340","1470","1560","1680","1850","2070","2320","2760","3580","4650","5540","5980","6660","7540","9620","11460","11180","10380","9600","9270","9360","10820","13810","18070","19300","20630","21810","24520","24870","26140","28190","30090","29560","27970","27080","26810","25320","25030","28100","33850","38770","41500","44540","49210","49150","49750","50700","50100","50720","50390","47480","46240","45040","49010","51010","48360","",
"Azerbaijan","AZE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","180","240","410","510","600","630","680","740","840","960","1290","1920","2730","3890","4820","5410","5570","6480","7450","7740","6610","4790","4110","4080","4510","4480","",
"Burundi","BDI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","70","80","80","70","60","50","50","50","70","70","70","80","100","110","120","140","150","180","220","250","240","230","220","240","250","260","250","230","220","220","210","180","160","150","140","150","150","140","130","130","130","120","120","140","150","170","190","200","220","230","250","260","260","260","260","260","250","240","230","",
"Belgium","BEL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1450","1530","1670","1800","1950","2100","2270","2510","2790","3080","3640","4690","6000","6910","7580","8220","9560","11730","13980","13190","11180","9430","8860","8820","10170","13090","17010","18030","19310","20580","23170","23410","25090","27070","28550","28450","26530","25980","25890","24460","24060","27100","32910","37780","39940","42740","46570","46980","47080","46490","47130","47900","47820","45570","43400","42520","46070","48060","45800","",
"Benin","BEN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","90","100","110","110","110","120","120","120","120","120","130","160","190","200","210","230","250","310","390","410","360","290","270","260","270","310","360","340","370","380","370","380","330","360","350","380","370","410","480","530","530","600","730","820","860","920","1030","1090","1080","1090","1120","1220","1270","1180","1110","1090","1200","1250","1280","",
"Burkina Faso","BFA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","80","80","80","80","80","90","90","90","90","90","90","110","140","160","170","170","200","250","300","300","280","240","210","210","240","270","330","330","330","360","370","360","280","250","250","250","250","270","270","280","270","320","390","460","490","510","570","610","650","680","730","770","760","700","680","670","750","770","770","",
"Bangladesh","BGD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","120","160","210","200","170","170","190","230","260","250","230","220","230","250","280","290","300","320","320","330","320","320","340","370","400","420","420","440","440","440","460","510","550","570","610","660","730","800","890","970","1040","1110","1220","1370","1520","1750","1930","2030","",
"Bulgaria","BGR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","2360","2090","2010","1950","2190","2720","3110","2830","2250","1620","1430","1250","1240","1520","1590","1460","1440","1480","1660","1770","1970","2370","3060","3800","4300","4820","6070","6680","7010","7260","7490","7590","7700","7430","7400","7610","8530","9500","9630","",
"Bahrain","BHR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","8520","9150","9310","7900","7230","7700","7800","7660","9070","9800","9890","10030","9680","10380","10790","10310","10070","9870","10940","11500","12060","12940","14570","16550","17890","19660","20860","18830","18970","18160","22010","23790","24070","22580","21570","21250","22000","22230","19900","",
"Bahamas, The","BHS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1550","1650","1760","1900","2040","2230","2450","2760","2920","3110","3190","3740","3840","4640","3120","3360","3720","5200","6050","5790","6360","6640","7700","8510","9400","10800","11710","12440","11870","11330","11550","11310","11600","14260","15930","15180","16810","24150","26360","26560","27190","27770","29270","30570","30760","31090","30960","29010","28370","28030","28550","27490","28110","28670","29020","30090","31150","32260","26070","",
"Bosnia and Herzegovina","BIH","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","760","1010","1330","1400","1540","1620","1750","2030","2700","3060","3410","3920","4730","4970","4960","5010","4990","5270","5300","5210","5130","5120","5750","6180","6080","",
"Belarus","BLR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1800","1600","1460","1370","1450","1540","1560","1410","1380","1300","1380","1630","2170","2820","3510","4310","5470","5660","6150","6340","6630","7030","7620","6750","5640","5320","5730","6370","6360","",
"Belize","BLZ","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","330","340","350","370","390","420","420","420","420","450","520","600","730","840","800","850","930","1120","1420","1430","1290","1150","1160","1200","1350","1610","1870","2080","2260","2420","2680","2790","2780","2860","2880","2890","2780","2880","3150","3130","3200","3420","3560","3620","3740","3670","3880","4050","3880","4050","4100","4180","4260","4400","4340","4420","4620","4690","4110","",
"Bermuda","BMU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103480","101610","100100","101760","99920","101120","103620","112940","117000","117740","112240","",
"Bolivia","BOL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","550","580","650","760","820","900","860","840","850","840","740","720","710","720","720","740","770","790","810","850","900","950","990","980","980","950","920","910","950","1020","1110","1220","1480","1620","1780","2000","2250","2590","2830","2960","3040","3090","3370","3520","3180","",
"Brazil","BRA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","270","320","380","420","450","510","590","730","960","1180","1400","1520","1710","2000","2180","2120","2060","1780","1680","1550","1750","2030","2310","2490","2350","2390","2340","2310","2670","3430","4350","5020","4840","4120","3930","3350","3100","2990","3350","4000","4850","6190","7620","8320","9650","11080","12310","12790","12120","10190","8920","8700","9170","9270","7850","",
"Barbados","BRB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","5910","6690","7430","7860","7600","7570","7460","7690","8010","8340","8700","9050","9420","9820","10780","10630","10650","11300","12290","13240","14220","15530","16180","15730","15540","15050","15720","15660","15630","15740","15920","16070","16700","17380","14350","",
"Brunei Darussalam","BRN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12090","12460","13580","15160","15030","15090","15680","16210","16220","14420","14040","14680","16070","17140","17800","19990","23090","27580","30930","34150","32460","33300","35520","42370","45320","43090","38850","33170","29800","29390","32230","31510","",
"Bhutan","BTN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","270","250","280","280","330","470","520","550","560","480","450","420","450","460","510","550","530","560","700","750","810","910","1030","1200","1330","1640","1770","1860","2040","2240","2390","2410","2460","2520","2650","2800","2970","3150","2840","",
"Botswana","BWA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","80","80","90","90","100","100","120","140","160","200","260","350","440","520","540","580","690","890","1110","1340","1290","1170","1090","1070","1150","1340","1980","2320","2720","3070","3270","3330","2960","3260","3180","3330","3210","3150","3170","3260","2930","3370","3920","4930","5440","5730","5740","5330","5610","6610","7250","7570","7700","6780","6950","7050","7510","7510","6640","",
"Central African Republic","CAF","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","80","80","80","90","90","100","100","110","110","110","120","140","170","190","210","240","280","310","360","350","340","270","270","290","340","420","490","490","480","480","470","450","370","350","300","300","280","280","260","260","250","260","300","340","350","380","420","480","510","530","570","380","390","400","410","440","490","520","500","",
"Canada","CAN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21210","22620","23030","23610","25860","29900","34810","38510","43090","45650","43230","44490","47190","51080","52800","52200","47590","43890","42900","45080","46540","43540","",
"Central Europe and the Baltics","CEB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2240.13619055205","2442.07021173602","2718.02343110892","3176.0101056261","3629.76189813412","3828.06371789954","3868.29440259102","3914.34408277572","4089.15934293789","4169.79503218181","4429.58075869361","5188.46889465467","6381.53317588907","7741.5083602715","8871.06113555355","10310.3509271437","12410.7441313093","12770.635293589","12820.3500087806","12940.8081027161","13086.7457068495","13429.6447145983","13566.6445814188","13254.5285154177","12863.9369570977","13085.3332838616","14661.7490685062","15928.3159535751","15794.5800197008","",
"Switzerland","CHE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46740","49730","49340","46200","44280","44680","42110","40760","46780","55200","63080","65590","64480","65260","72470","79850","82280","87770","91700","89400","87960","84420","81880","83280","84260","82620","",
"Channel Islands","CHI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42510","41460","40720","43340","50340","56280","60750","66220","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","580","630","670","670","750","760","780","830","880","1060","1150","1360","1650","1150","1010","1060","1360","1790","2300","2780","2280","1820","1590","1430","1470","1660","1930","2200","2350","2600","3120","3440","3730","4420","5070","5590","5490","5120","5060","4800","4540","4510","5190","6210","7340","8690","10050","9950","10750","12190","14270","15160","14940","14130","13370","13270","14550","14990","13470","",
"China","CHN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","70","80","90","100","110","100","90","110","120","130","130","160","180","200","190","190","200","210","220","220","220","220","250","290","310","320","330","320","330","350","390","420","470","540","650","750","800","860","940","1010","1110","1280","1510","1760","2060","2510","3100","3680","4340","5040","5910","6740","7470","7890","8210","8670","9540","10310","10550","",
"Cote d'Ivoire","CIV","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","160","180","220","210","230","240","270","280","300","300","320","380","480","600","680","780","950","1130","1160","1130","960","720","660","640","730","810","910","830","780","760","780","750","680","700","540","670","760","730","650","600","570","630","770","930","940","970","1090","1190","1230","1110","1240","1350","1450","2050","2050","2030","2180","2290","2280","",
"Cameroon","CMR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","110","130","160","160","170","190","220","280","360","340","340","520","640","640","800","780","700","720","780","950","1110","1180","1080","970","900","930","950","850","830","740","760","740","730","700","670","670","790","990","1100","1160","1200","1310","1410","1400","1420","1420","1480","1540","1500","1440","1390","1490","1540","1520","",
"Congo, Dem. Rep.","COD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","150","130","120","120","110","130","140","190","170","190","200","230","260","290","300","320","340","380","410","440","460","470","460","500","530","550","",
"Congo, Rep.","COG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","150","150","160","170","180","190","200","220","220","230","270","340","420","500","480","450","490","610","830","1090","1220","1080","1060","990","980","1050","930","940","930","960","1060","910","760","480","470","590","580","490","570","630","670","700","770","1120","1600","1700","2140","2480","2750","2710","3500","3740","3990","3090","2210","1700","1790","1810","1770","",
"Colombia","COL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","280","280","310","310","320","300","300","320","330","360","390","460","550","590","620","690","850","1060","1250","1350","1330","1280","1280","1210","1220","1240","1300","1250","1330","1380","1560","1740","2050","2350","2540","2660","2570","2330","2340","2330","2370","2370","2620","3000","3500","4130","4710","5130","5620","6310","7290","7950","8200","7330","6460","5930","6260","6570","5790","",
"Comoros","COM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","660","590","550","550","620","780","960","930","980","950","1100","1080","870","850","780","790","730","700","730","700","680","790","950","1090","1130","1170","1290","1370","1380","1410","1420","1490","1490","1380","1320","1280","1370","1380","1400","",
"Cabo Verde","CPV","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","510","470","450","450","510","650","840","900","900","910","1040","1190","1300","1410","1350","1350","1330","1370","1410","1350","1300","1520","1900","2160","2300","2820","3300","3480","3400","3510","3440","3490","3360","3210","3130","3080","3400","3630","3060","",
"Costa Rica","CRI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","360","350","350","370","390","410","440","470","520","570","630","760","880","970","1050","1250","1480","1740","1950","1420","1020","940","1110","1240","1440","1600","1650","1660","1750","1950","2350","2740","2980","3180","3240","3350","3400","3460","3570","3670","3770","4030","4380","4640","5060","5680","6410","6540","7260","8090","9280","9930","10350","10700","11100","11500","11970","12090","11530","",
"Caribbean small states","CSS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","480.074085490799","519.958784433304","564.02919549632","607.254838678961","609.546331917449","644.408615519248","671.6097408226","702.870488656454","754.842592472415","798.106691623526","947.459263341902","1050.6718056469","1240.40400237931","1570.00201340189","1596.56124883443","1722.26786667493","1877.649201122","2073.89245622155","2388.11223253551","2655.21371844265","2823.76425435612","2704.69521117681","2636.63920820141","2589.86852188726","2514.41398749681","2578.84450220033","2793.64354567216","2831.8302642682","2827.07989281746","2817.75915263178","2919.37418996789","2966.65777140741","3003.83451810884","3368.49856283417","3666.29705082576","3834.13923760123","4025.71343059824","4537.00924713534","4871.15617133204","4987.98863145491","5193.79446708375","5657.49496620892","6289.92992634767","6845.22345433664","7585.61370017916","8296.41560213738","9201.01988787773","8842.1385936791","8956.41781554226","8807.16377073483","9483.1928990159","9873.89940557439","9873.80047527226","9851.59145082094","9366.83640243442","9312.59659251782","9617.87912153291","9996.3858313453","8875.08590881013","",
"Cuba","CUB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","850","1040","1240","1500","1550","1600","1790","1990","2140","2430","2340","2180","2310","2310","2390","2490","2780","2750","2650","2340","2130","1870","2140","2550","2710","2500","2240","2400","2620","2760","2820","3100","3490","3960","4530","5000","5460","5520","5610","5930","6280","6640","6840","7230","7480","7950","8630","","","",
"Curacao","CUW","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20580","20460","20210","19680","19610","20090","20370","17150","",
"Cayman Islands","CYM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70220","71050","49570","44030","42930","44380","45880","52840","59380","68200","64000","",
"Cyprus","CYP","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","1520","1800","2400","3390","4050","4490","4220","4360","4480","5020","6300","7910","8570","9300","9460","11020","10970","11680","12810","13880","14280","15490","14340","14180","14170","14510","16710","20260","23990","25600","27340","31970","32780","32040","32550","29680","27830","26530","26010","24720","24960","27330","28600","26440","",
"Czech Republic","CZE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3360","3500","4170","5150","5980","6160","6110","6110","6340","6350","6650","8110","10260","12480","14000","15850","18510","18840","19400","19460","19440","19410","18900","18370","17670","18310","20560","22110","22070","",
"Germany","DEU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","3600","4670","5800","6720","7130","7670","8870","11050","13010","12540","11120","10020","9880","9840","11240","14240","18620","19760","21300","22890","25810","25990","27530","29520","30860","30140","27950","26840","26180","24770","23680","26140","31670","35770","38270","40470","43650","43660","44680","47320","46560","47220","47640","45780","44280","43760","47470","49190","47520","",
"Djibouti","DJI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2550","2640","2730","3010","3310","3310","",
"Dominica","DMA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","710","960","1160","1210","1220","1330","1480","1790","2170","2560","2600","2810","2960","3200","3410","3490","3720","3890","4010","4200","4200","4220","4470","4270","4680","4950","5050","5490","5760","6340","6520","6730","6920","6850","6700","7740","6880","7320","7070","7700","8250","7270","",
"Denmark","DNK","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","2870","3140","3310","3670","4310","5580","6800","8080","8960","9780","11170","13560","15090","14180","12860","11710","11520","11840","14070","17760","22130","23050","24370","25540","28700","28570","30360","32560","34770","35150","33460","33060","32580","31410","30850","34750","42640","49610","53540","55740","60390","60090","61220","61990","61650","63200","63670","60510","58040","56690","61260","63460","63010","",
